locationID,name,civicNumber,city,province,webAddress,postalCode,phoneNumber,type,capacity,createdAt,updatedAt
1,"Montreal Soccer Club",96568,Montreal,QC,montreal-soccer-club.yscm.ca,"J2B 8A",200-652-5405,Branch,34,"2024-07-19 13:12:00","2024-07-19 13:12:00"
2,"Longueuil Soccer Club",840,Longueuil,QC,longueuil-soccer-club.yscm.ca,H4C1C5,"397-036-5061 x9",Branch,34,"2024-07-19 13:12:00","2024-07-19 13:12:00"
3,"Drummondville Soccer Club",8757,Drummondville,QC,drummondville-soccer-club.yscm.ca,"J2K 5B","857-704-3561 x5",Branch,404,"2024-07-19 13:12:00","2024-07-19 13:12:00"
4,"Mirabel Soccer Club",2035,Mirabel,QC,mirabel-soccer-club.yscm.ca,J6N4K5,"(681) 063-7057 ",Branch,370,"2024-07-19 13:12:00","2024-07-19 13:12:00"
5,"Gatineau Soccer Club",246,Gatineau,QC,gatineau-soccer-club.yscm.ca,H6P8N7,"+1 (191) 601-91",Branch,353,"2024-07-19 13:12:00","2024-07-19 13:12:00"
6,"Brossard Soccer Club",339,Brossard,QC,brossard-soccer-club.yscm.ca,J4C4V7,"(986) 371-4563 ",Branch,238,"2024-07-19 13:12:00","2024-07-19 13:12:00"
7,"Saguenay Soccer Club",85613,Saguenay,QC,saguenay-soccer-club.yscm.ca,"G8M 3V","+1 (689) 590-82",Branch,227,"2024-07-19 13:12:00","2024-07-19 13:12:00"
8,"Granby Soccer Club",37647,Granby,QC,granby-soccer-club.yscm.ca,"J6V 4K","+1 (714) 124-39",Branch,61,"2024-07-19 13:12:00","2024-07-19 13:12:00"
9,"Terrebonne Soccer Club",30381,Terrebonne,QC,terrebonne-soccer-club.yscm.ca,J5A8B7,"594 601 6785",Branch,21,"2024-07-19 13:12:00","2024-07-19 13:12:00"
10,"Saint-Georges Soccer Club",752,Saint-Georges,QC,saint-georges-soccer-club.yscm.ca,"J3J 3S","(592) 907-1181 ",Branch,347,"2024-07-19 13:12:00","2024-07-19 13:12:00"
11,"Victoriaville Soccer Club",45749,Victoriaville,QC,victoriaville-soccer-club.yscm.ca,G2Y6R8,905-441-1694,Branch,244,"2024-07-19 13:12:00","2024-07-19 13:12:00"
12,"Sorel-Tracy Soccer Club",45206,Sorel-Tracy,QC,sorel-tracy-soccer-club.yscm.ca,"G9H 6N","(847) 395-2128 ",Branch,477,"2024-07-19 13:12:00","2024-07-19 13:12:00"
13,"Quebec City Soccer Club",50001,"Quebec City",QC,quebec-city-soccer-club.yscm.ca,G1A8L2,"159-782-5986 x5",Branch,324,"2024-07-19 13:12:00","2024-07-19 13:12:00"
14,"Saint-Hyacinthe Soccer Club",9355,Saint-Hyacinthe,QC,saint-hyacinthe-soccer-club.yscm.ca,G6Y2V3,1-154-921-0805,Branch,188,"2024-07-19 13:12:00","2024-07-19 13:12:00"
15,"Rouyn-Noranda Soccer Club",42202,Rouyn-Noranda,QC,rouyn-noranda-soccer-club.yscm.ca,J2V4R4,"969 845 8003",Branch,455,"2024-07-19 13:12:00","2024-07-19 13:12:00"
16,"Laval Soccer Club",439,Laval,QC,laval-soccer-club.yscm.ca,"J9H 6J","486-141-0745 x0",Branch,286,"2024-07-19 13:12:00","2024-07-19 13:12:00"
17,"Salaberry-de-Valleyfield Soccer Club",868,Salaberry-de-Valleyfield,QC,salaberry-de-valleyfield-soccer-club.yscm.ca,"G7X 5S",1-141-186-9321,Branch,181,"2024-07-19 13:12:00","2024-07-19 13:12:00"
18,"Boucherville Soccer Club",97203,Boucherville,QC,boucherville-soccer-club.yscm.ca,J7S9P2,"+1 (765) 345-07",Branch,114,"2024-07-19 13:12:00","2024-07-19 13:12:00"
19,"Repentigny Soccer Club",314,Repentigny,QC,repentigny-soccer-club.yscm.ca,J9T7T8,"(146) 916-6327",Branch,146,"2024-07-19 13:12:00","2024-07-19 13:12:00"
20,"Saint-Jérôme Soccer Club",8388,Saint-Jérôme,QC,saint-jérôme-soccer-club.yscm.ca,"G3B 5Y",422.044.0011,Branch,377,"2024-07-19 13:12:00","2024-07-19 13:12:00"
21,"Trois-Rivières Soccer Club",5845,Trois-Rivières,QC,trois-rivières-soccer-club.yscm.ca,"H9H 3X","792-934-9788 x7",Branch,191,"2024-07-19 13:12:00","2024-07-19 13:12:00"
22,"Dollard-des-Ormeaux Soccer Club",42638,Dollard-des-Ormeaux,QC,dollard-des-ormeaux-soccer-club.yscm.ca,"H6R 6P","+1 (656) 333-33",Branch,237,"2024-07-19 13:12:00","2024-07-19 13:12:00"
23,"Rimouski Soccer Club",746,Rimouski,QC,rimouski-soccer-club.yscm.ca,J6P9L1,1-854-787-3650,Head,146,"2024-07-19 13:12:00","2024-07-19 13:12:00"
24,"Blainville Soccer Club",7856,Blainville,QC,blainville-soccer-club.yscm.ca,G4G3P5,"(881) 685-4341",Branch,232,"2024-07-19 13:12:00","2024-07-19 13:12:00"
25,"Lévis Soccer Club",2125,Lévis,QC,lévis-soccer-club.yscm.ca,H4M9T9,925-546-0178,Branch,92,"2024-07-19 13:12:00","2024-07-19 13:12:00"
